Symbol,Name,Closed Date,Opened Date,Quantity,Proceeds Per Share,Cost Per Share,Proceeds,Cost Basis,Gain/Loss ($),Gain/Loss (%),Long Term Gain/Loss,Short Term Gain/Loss,Term,Unadjusted Cost Basis,Wash Sale?,Disallowed Loss,Transaction Closed Date,Transaction Cost Basis,Total Transaction Gain/Loss ($),Total Transaction Gain/Loss (%),LT Transaction Gain/Loss ($),LT Transaction Gain/Loss (%),ST Transaction Gain/Loss ($),ST Transaction Gain/Loss (%)
KCAC,KENSINGTON CAPITAL ACQ CLASS A,09/22/2020,09/03/2020,17,$19.40,$17.24,$329.88,$293.07,$36.81,12.56%,,$36.81,Short,$293.07,No,,,$1042.87,$102.00,9.78%,,,,9.78%
LSCC 12/18/2020 30.00 C,CALL LATTICE SEMICONDUCT $30 EXP 12/18/20,09/03/2020,09/02/2020,1,$3.09,$3.71,$309.34,$370.65,-$61.31,-16.54%,,-$61.31,Short,$370.65,No,,,,,,,,,
DAN 12/18/2020 13.00 C,CALL DANA HOLDING CORP 0 $13 EXP 12/18/20,09/03/2020,09/02/2020,1,$2.64,$2.71,$264.34,$270.65,-$6.31,-2.33%,,-$6.31,Short,$270.65,No,,,,,,,,,
AXL 01/15/2021 7.00 C,CALL AMERICAN AXLE & MFG $7 EXP 01/15/21,09/03/2020,09/02/2020,1,$2.21,$2.21,$221.35,$220.65,$0.70,0.32%,,$0.70,Short,$220.65,No,,,,,,,,,
WORK 12/18/2020 35.00 C,CALL SLACK TECHNOLOGIES $35 EXP 12/18/20,09/03/2020,09/01/2020,1,$4.29,$5.80,$429.34,$579.65,-$150.31,-25.93%,,-$150.31,Short,$579.65,No,,,,,,,,,
ARKG 09/18/2020 63.00 C,CALL ARK ETF TR GENOMIC $63 EXP 09/18/20,09/02/2020,08/27/2020,2,$1.24,$1.76,$248.65,$351.34,-$102.69,-29.23%,,-$102.69,Short,$351.34,No,,,,,,,,,
PTON,PELOTON INTERACTIVE INC,09/02/2020,09/02/2020,4,$90.76,$90.48,$363.05,$361.94,$1.11,0.31%,,$1.11,Short,$361.94,No,,,,,,,,,
AAPL,APPLE INC,09/02/2020,08/20/2020,50,$137.58,$105.19,$6878.85,$5259.58,$1619.27,30.79%,,$1619.27,Short,$5259.58,No,,,,,,,,,
PLUG 09/04/2020 11.00 C,CALL PLUG POWER INC $11 EXP 09/04/20,09/02/2020,08/13/2020,1,$2.14,$1.20,$214.35,$119.65,$94.70,79.15%,,$94.70,Short,$119.65,No,,,,,,,,,
NTLA 01/15/2021 20.00 C,CALL INTELLIA THERAPEUTI $20 EXP 01/15/21,09/02/2020,09/01/2020,1,$5.09,$6.21,$509.34,$620.65,-$111.31,-17.93%,,-$111.31,Short,$620.65,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,08/20/2020,47,$129.56,$105.19,$6089.19,$4944.01,$1145.18,23.16%,,$1145.18,Short,$4944.01,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,08/20/2020,1,$129.56,$105.19,$129.56,$105.19,$24.37,23.17%,,$24.37,Short,$105.19,No,,,,,,,,,
NVDA,NVIDIA CORP,08/31/2020,08/06/2020,1,$524.80,$512.61,$524.80,$512.61,$12.19,2.38%,,$12.19,Short,$512.61,No,,,$5079.11,$168.93,3.33%,,,,3.33%
NVDA,NVIDIA CORP,08/31/2020,08/24/2020,9,$524.80,$507.91,$4723.24,$4571.20,$152.04,3.33%,,$152.04,Short,$4571.20,No,,,$5079.11,$168.93,3.33%,,,,3.33%
AAPL,APPLE INC,08/31/2020,08/20/2020,100,$127.32,$105.19,$12731.57,$10519.16,$2212.41,21.03%,,$2212.41,Short,$10519.16,No,,,,,,,,,
AAPL,APPLE INC,08/31/2020,08/20/2020,2,$129.56,$105.19,$259.11,$210.38,$48.73,23.16%,,$48.73,Short,$210.38,No,,,,,,,,,
CRM 09/04/2020 280.00 C,CALL SALESFORCE COM $280 EXP 09/04/20,08/28/2020,08/26/2020,1,$3.64,$9.51,$364.34,$950.65,-$586.31,-61.67%,,-$586.31,Short,$950.65,No,,,,,,,,,
GOLD 09/25/2020 28.00 C,CALL BARRICK GOLD CORP $28 EXP 09/25/20,08/24/2020,08/07/2020,1,$1.90,$2.70,$190.35,$269.65,-$79.30,-29.41%,,-$79.30,Short,$269.65,No,,,,,,,,,
WPM 09/25/2020 49.00 C,CALL WHEATON PRECIOUS ME $49 EXP 09/25/20,08/24/2020,08/07/2020,1,$3.79,$7.71,$379.34,$770.65,-$391.31,-50.78%,,-$391.31,Short,$770.65,No,,,,,,,,,
SHOP,SHOPIFY INC F CLASS A,08/24/2020,04/23/2020,2,$999.05,$636.00,$1998.09,$1272.00,$726.09,57.08%,,$726.09,Short,$1272.00,No,,,,,,,,,
FVRR 10/16/2020 120.00 C,CALL FIVERR INTERNTNL LT $120 EXP 10/16/20,08/24/2020,08/21/2020,1,$9.65,$11.93,$965.33,$1192.65,-$227.32,-19.06%,,-$227.32,Short,$1192.65,No,,,,,,,,,
TTWO 09/18/2020 175.00 C,CALL TAKE TWO INTERACTV $175 EXP 09/18/20,08/24/2020,08/07/2020,1,$4.36,$7.91,$436.34,$790.65,-$354.31,-44.81%,,-$354.31,Short,$790.65,No,,,,,,,,,
ETSY 09/04/2020 125.00 C,CALL ETSY INC $125 EXP 09/04/20,08/24/2020,08/13/2020,1,$7.28,$9.81,$728.33,$980.65,-$252.32,-25.73%,,-$252.32,Short,$980.65,No,,,,,,,,,
TWOU 10/16/2020 45.00 C,CALL 2U INC $45 EXP 10/16/20,08/24/2020,08/07/2020,1,$1.29,$4.11,$129.35,$410.65,-$281.30,-68.50%,,-$281.30,Short,$410.65,No,,,,,,,,,
VSLR 10/16/2020 20.00 C,CALL VIVINT SOLAR INC $20 EXP 10/16/20,08/24/2020,08/06/2020,1,$8.39,$6.91,$839.33,$690.65,$148.68,21.53%,,$148.68,Short,$690.65,No,,,,,,,,,
CRNT 08/21/2020 2.50 C,CALL CERAGON NETWORKS LT $2.5 EXP 08/21/20,08/21/2020,07/31/2020,2,$0.00,$0.36,$0.00,$71.34,-$71.34,-100.00%,,-$71.34,Short,$71.34,No,,,,,,,,,
DXCM 08/21/2020 460.00 C,CALL DEXCOM INC $460 EXP 08/21/20,08/21/2020,08/07/2020,1,$0.00,$10.61,$0.00,$1060.65,-$1060.65,-100.00%,,-$1060.65,Short,$1060.65,No,,,,,,,,,
LX 08/21/2020 7.50 C,CALL LEXINFINTECH HOLDIN $7.5 EXP 08/21/20,08/20/2020,07/31/2020,1,$0.59,$1.01,$59.35,$100.65,-$41.30,-41.03%,,-$41.30,Short,$100.65,No,,,,,,,,,
AAPL 08/21/2020 415.00 C,CALL APPLE INC $415 EXP 08/21/20,08/20/2020,08/06/2020,1,$49.99,$31.51,$4999.24,$3150.65,$1848.59,58.67%,,$1848.59,Short,$3150.65,No,,,,,,,,,
ALT 08/21/2020 22.50 C,CALL ALTIMMUNE INC $22.5 EXP 08/21/20,08/20/2020,07/30/2020,1,$2.39,$4.51,$239.34,$450.65,-$211.31,-46.89%,,-$211.31,Short,$450.65,No,,,,,,,,,
CHGG 08/21/2020 80.00 C,CALL CHEGG INC $80 EXP 08/21/20,08/20/2020,07/31/2020,1,$0.44,$6.37,$44.35,$636.65,-$592.30,-93.03%,,-$592.30,Short,$636.65,No,,,,,,,,,
SGDJ,SPROTT JUNIOR GOLD MINERS ETF,08/20/2020,07/09/2020,25,$46.56,$40.64,$1164.10,$1016.00,$148.10,14.58%,,$148.10,Short,$1016.00,No,,,,,,,,,
EGHT,8X8 INC,08/17/2020,08/06/2020,20,$15.88,$16.51,$317.59,$330.20,-$12.61,-3.82%,,-$12.61,Short,$330.20,No,,,$1235.80,-$44.82,-3.63%,,,,-3.63%
IIPR,INNOVATIVE INDUSTRIAL PR REIT,08/17/2020,07/24/2020,14,$119.86,$96.17,$1677.97,$1346.38,$331.59,24.63%,,$331.59,Short,$1346.38,No,,,,,,,,,
INSG,INSEEGO CORP,08/17/2020,07/24/2020,135,$12.04,$10.90,$1625.02,$1471.50,$153.52,10.43%,,$153.52,Short,$1471.50,No,,,,,,,,,
EGHT,8X8 INC,08/17/2020,07/05/2020,55,$15.88,$16.47,$873.39,$905.60,-$32.21,-3.56%,,-$32.21,Short,$905.60,No,,,$1235.80,-$44.82,-3.63%,,,,-3.63%
BDSI,BIODELIVERY SCI INTL,08/17/2020,07/27/2020,250,$5.27,$4.05,$1318.72,$1012.50,$306.22,30.24%,,$306.22,Short,$1012.50,No,,,,,,,,,
TSM,TAIWAN SEMICONDUCTR F SPONSORED ADR 1 ADR REPS 5 ORD SHS,08/17/2020,07/24/2020,18,$80.73,$71.54,$1453.11,$1287.72,$165.39,12.84%,,$165.39,Short,$1287.72,No,,,,,,,,,
CUE,CUE BIOPHARMA INC,08/17/2020,08/06/2020,65,$20.89,$20.56,$1357.83,$1336.40,$21.43,1.60%,,$21.43,Short,$1336.40,No,,,,,,,,,
SQ,SQUARE INC CLASS A,08/17/2020,07/06/2020,8,$148.49,$118.81,$1187.90,$950.52,$237.38,24.97%,,$237.38,Short,$950.52,No,,,$1189.38,$295.50,24.84%,,,,24.84%
IMMU,IMMUNOMEDICS INC,08/17/2020,08/06/2020,7,$41.69,$44.31,$291.86,$310.17,-$18.31,-5.90%,,-$18.31,Short,$310.17,No,,,$1148.90,-$23.15,-2.01%,,,,-2.01%
SAIL,SAILPOINT TECHNOLOGIES,08/17/2020,08/06/2020,9,$36.60,$31.57,$329.41,$284.13,$45.28,15.94%,,$45.28,Short,$284.13,No,,,$1318.58,$365.07,27.69%,,,,27.69%
SQ,SQUARE INC CLASS A,08/17/2020,07/06/2020,2,$148.49,$119.43,$296.98,$238.86,$58.12,24.33%,,$58.12,Short,$238.86,No,,,$1189.38,$295.50,24.84%,,,,24.84%
IMMU,IMMUNOMEDICS INC,08/17/2020,07/09/2020,20,$41.69,$41.94,$833.89,$838.73,-$4.84,-0.58%,,-$4.84,Short,$838.73,No,,,$1148.90,-$23.15,-2.01%,,,,-2.01%
CRSP,CRISPR THERAPEUTICS F,08/17/2020,07/06/2020,10,$91.56,$84.44,$915.58,$844.36,$71.22,8.43%,,$71.22,Short,$844.36,No,,,$1228.32,$53.49,4.35%,,,,4.35%
CRNT,CERAGON NETWORKS LTD F,08/17/2020,06/27/2020,100,$2.50,$2.22,$250.00,$221.77,$28.23,12.73%,,$28.23,Short,$221.77,No,,,$1175.18,$137.34,11.69%,,,,11.69%
DOGEF,ORSTED A/S ORDF,08/17/2020,07/09/2020,8,$135.65,$136.32,$1085.20,$1090.56,-$5.36,-0.49%,,-$5.36,Short,$1090.56,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,08/17/2020,07/09/2020,174.3802,$2.50,$2.16,$435.96,$376.66,$59.30,15.74%,,$59.30,Short,$376.66,No,,,$1175.18,$137.34,11.69%,,,,11.69%
CRNT,CERAGON NETWORKS LTD F,08/17/2020,08/06/2020,12,$2.50,$2.72,$30.00,$32.64,-$2.64,-8.09%,,-$2.64,Short,$32.64,No,,,$1175.18,$137.34,11.69%,,,,11.69%
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,08/17/2020,07/30/2020,70,$18.53,$18.78,$1296.79,$1314.60,-$17.81,-1.35%,,-$17.81,Short,$1314.60,No,,,,,,,,,
CRNT,CERAGON NETWORKS LTD F,08/17/2020,07/03/2020,142.62,$2.50,$2.19,$356.56,$312.18,$44.38,14.22%,,$44.38,Short,$312.18,No,,,$1175.18,$137.34,11.69%,,,,11.69%
CRNT,CERAGON NETWORKS LTD F,08/17/2020,06/27/2020,50,$2.50,$2.22,$125.00,$110.89,$14.11,12.72%,,$14.11,Short,$110.89,No,,,$1175.18,$137.34,11.69%,,,,11.69%
CRNT,CERAGON NETWORKS LTD F,08/17/2020,07/03/2020,1.9998,$2.50,$2.19,$5.00,$4.38,$0.62,14.16%,,$0.62,Short,$4.38,No,,,$1175.18,$137.34,11.69%,,,,11.69%
CRNT,CERAGON NETWORKS LTD F,08/17/2020,08/06/2020,38,$2.50,$2.72,$95.00,$103.36,-$8.36,-8.09%,,-$8.36,Short,$103.36,No,,,$1175.18,$137.34,11.69%,,,,11.69%
TTD,THE TRADE DESK INC CLASS A,08/17/2020,08/06/2020,1,$471.54,$503.29,$471.54,$503.29,-$31.75,-6.31%,,-$31.75,Short,$503.29,No,,,$2511.96,-$154.26,-6.14%,,,,-6.14%
TTD,THE TRADE DESK INC CLASS A,08/17/2020,08/06/2020,1,$471.54,$502.80,$471.54,$502.80,-$31.26,-6.22%,,-$31.26,Short,$502.80,No,,,$2511.96,-$154.26,-6.14%,,,,-6.14%
CRNT,CERAGON NETWORKS LTD F,08/17/2020,06/27/2020,6,$2.50,$2.22,$15.00,$13.30,$1.70,12.78%,,$1.70,Short,$13.30,No,,,$1175.18,$137.34,11.69%,,,,11.69%
CRSP,CRISPR THERAPEUTICS F,08/17/2020,08/06/2020,4,$91.56,$95.99,$366.23,$383.96,-$17.73,-4.62%,,-$17.73,Short,$383.96,No,,,$1228.32,$53.49,4.35%,,,,4.35%
OROCF,OROCOBRE LTD ORD F AUSTRALIAN SHARES,08/17/2020,08/06/2020,75,$2.05,$2.96,$153.75,$221.75,-$68.00,-30.67%,,-$68.00,Short,$221.75,No,,,$1281.00,$0.25,0.02%,,,,0.02%
OROCF,OROCOBRE LTD ORD F AUSTR ALIAN SHARES,08/17/2020,07/09/2020,550,$2.05,$1.93,$1127.50,$1059.25,$68.25,6.44%,,$68.25,Short,$1059.25,No,,,$1281.00,$0.25,0.02%,,,,0.02%
TTD,THE TRADE DESK INC CLASS A,08/17/2020,08/06/2020,3,$471.54,$501.96,$1414.62,$1505.87,-$91.25,-6.06%,,-$91.25,Short,$1505.87,No,,,$2511.96,-$154.26,-6.14%,,,,-6.14%
INVA,INNOVIVA INC,08/17/2020,07/27/2020,100,$13.85,$13.29,$1385.47,$1329.00,$56.47,4.25%,,$56.47,Short,$1329.00,No,,,,,,,,,
CCHWF,COLUMBIA CARE INC F,08/17/2020,07/29/2020,50,$3.66,$3.23,$183.00,$161.45,$21.55,13.35%,,$21.55,Short,$161.45,No,,,,,,,,,
SE,SEA LTD F UNSPONSORED ADR 1 ADR REPS 1 ORD SHS,08/17/2020,07/27/2020,10,$131.43,$110.48,$1314.33,$1104.80,$209.53,18.97%,,$209.53,Short,$1104.80,No,,,,,,,,,
Z 09/04/2020 85.00 C,CALL ZILLOW GROUP INC $85 EXP 09/04/20,08/17/2020,08/07/2020,1,$1.29,$5.51,$129.35,$550.65,-$421.30,-76.51%,,-$421.30,Short,$550.65,No,,,,,,,,,
APPS 08/21/2020 12.50 C,CALL DIGITAL TURBINE INC $12.5 EXP 08/21/20,08/17/2020,07/31/2020,1,$13.29,$1.61,$1329.30,$160.65,$1168.65,727.45%,,$1168.65,Short,$160.65,No,,,$991.30,$1667.30,168.19%,,,,168.19%
ACRGF,ACREAGE HLDGS INC F,08/17/2020,07/30/2020,385,$3.09,$3.09,$1188.85,$1189.65,-$0.80,-0.07%,,-$0.80,Short,$1189.65,No,,,,,,,,,
APPS 08/21/2020 12.50 C,CALL DIGITAL TURBINE INC $12.5 EXP 08/21/20,08/17/2020,08/06/2020,1,$13.29,$8.31,$1329.30,$830.65,$498.65,60.03%,,$498.65,Short,$830.65,No,,,$991.30,$1667.30,168.19%,,,,168.19%
CCHWF,COLUMBIA CARE INC F,08/17/2020,07/29/2020,300,$3.72,$3.23,$1117.48,$968.70,$148.78,15.36%,,$148.78,Short,$968.70,No,,,,,,,,,
YI,ONE HUNDRED ONE INC F UNSPONSORED ADR 1 ADR REPS 2 ORD SHS,08/17/2020,08/06/2020,220,$6.62,$6.61,$1456.88,$1454.20,$2.68,0.18%,,$2.68,Short,$1454.20,No,,,,,,,,,
SAIL,SAILPOINT TECHNOLOGIES,08/17/2020,08/06/2020,1,$36.60,$31.57,$36.60,$31.57,$5.03,15.93%,,$5.03,Short,$31.57,No,,,$1318.58,$365.07,27.69%,,,,27.69%
LVGO,LIVONGO HEALTH INC,08/17/2020,07/09/2020,9,$124.25,$103.90,$1118.25,$935.10,$183.15,19.59%,,$183.15,Short,$935.10,No,,,$1203.10,$163.65,13.60%,,,,13.60%
LVGO,LIVONGO HEALTH INC,08/17/2020,08/06/2020,2,$124.25,$134.00,$248.50,$268.00,-$19.50,-7.28%,,-$19.50,Short,$268.00,No,,,$1203.10,$163.65,13.60%,,,,13.60%
SAIL,SAILPOINT TECHNOLOGIES,08/17/2020,07/07/2020,36,$36.60,$27.86,$1317.64,$1002.88,$314.76,31.39%,,$314.76,Short,$1002.88,No,,,$1318.58,$365.07,27.69%,,,,27.69%
GTBIF,GREEN THUMB INDS INC F,08/17/2020,07/29/2020,80,$15.95,$13.56,$1276.37,$1085.12,$191.25,17.62%,,$191.25,Short,$1085.12,No,,,,,,,,,
NET,CLOUDFLARE INC CLASS A,08/17/2020,07/30/2020,34,$38.88,$41.32,$1321.89,$1404.80,-$82.91,-5.90%,,-$82.91,Short,$1404.80,No,,,,,,,,,
SEDG,SOLAREDGE TECH,08/17/2020,07/24/2020,7,$219.71,$172.26,$1537.94,$1205.82,$332.12,27.54%,,$332.12,Short,$1205.82,No,,,,,,,,,
AEIS 08/21/2020 70.00 C,CALL ADVANCED ENERGY IND $70 EXP 08/21/20,08/13/2020,08/04/2020,1,$10.99,$7.01,$1099.33,$700.65,$398.68,56.90%,,$398.68,Short,$700.65,No,,,,,,,,,
ETHOF,ETHOS GOLD CORP F,08/13/2020,08/07/2020,6500,$0.20,$0.21,$1303.22,$1365.00,-$61.78,-4.53%,,-$61.78,Short,$1365.00,No,,,$1449.00,-$65.58,-4.53%,,,,-4.53%
MU,MICRON TECHNOLOGY,08/13/2020,08/06/2020,28,$46.64,$50.00,$1305.83,$1400.00,-$94.17,-6.73%,,-$94.17,Short,$1400.00,No,,,,,,,,,
FB 09/04/2020 272.50 C,CALL FACEBOOK INC $272.5 EXP 09/04/20,08/13/2020,08/07/2020,1,$5.99,$11.51,$599.34,$1150.65,-$551.31,-47.91%,,-$551.31,Short,$1150.65,No,,,,,,,,,
ETHOF,ETHOS GOLD CORP F,08/13/2020,08/07/2020,400,$0.20,$0.21,$80.20,$84.00,-$3.80,-4.52%,,-$3.80,Short,$84.00,No,,,$1449.00,-$65.58,-4.53%,,,,-4.53%
ANTM 09/04/2020 275.00 C,CALL ANTHEM INC $275 EXP 09/04/20,08/13/2020,08/07/2020,1,$11.19,$9.71,$1119.33,$970.65,$148.68,15.32%,,$148.68,Short,$970.65,No,,,,,,,,,
FSLY 08/14/2020 78.00 P,PUT FASTLY INC $78 EXP 0 8/14/20,08/12/2020,08/07/2020,1,$3.49,$4.55,$349.33,$454.65,-$105.32,-23.17%,,-$105.32,Short,$454.65,No,,,$1415.99,-$368.00,-25.99%,,,,-25.99%
FSLY 08/14/2020 78.00 P,PUT FASTLY INC $78 EXP 08/14/20,08/12/2020,08/07/2020,2,$3.49,$4.81,$698.66,$961.34,-$262.68,-27.32%,,-$262.68,Short,$961.34,No,,,$1415.99,-$368.00,-25.99%,,,,-25.99%
HEAR 10/16/2020 15.00 C,CALL TURTLE BEACH CORP $15 EXP 10/16/20,08/07/2020,08/06/2020,1,$3.99,$5.91,$399.34,$590.65,-$191.31,-32.39%,,-$191.31,Short,$590.65,No,,,,,,,,,
REGN 08/07/2020 625.00 C,CALL REGENERON PHARMS IN $625 EXP 08/07/20,08/07/2020,07/31/2020,1,$2.99,$19.01,$299.34,$1900.65,-$1601.31,-84.25%,,-$1601.31,Short,$1900.65,No,,,,,,,,,
BE 01/15/2021 18.00 C,CALL BLOOM ENERGY CORP $18 EXP 01/15/21,08/07/2020,07/23/2020,1,$1.84,$5.31,$184.35,$530.65,-$346.30,-65.26%,,-$346.30,Short,$530.65,No,,,,,,,,,
INSG 08/21/2020 12.50 C,CALL INSEEGO CORP $12.5 EXP 08/21/20,08/07/2020,07/31/2020,1,$0.84,$1.96,$84.35,$195.65,-$111.30,-56.89%,,-$111.30,Short,$195.65,No,,,,,,,,,
INSG 08/21/2020 15.00 P,PUT INSEEGO CORP $15 EXP 08/21/20,08/07/2020,08/06/2020,1,$3.09,$3.51,$309.34,$350.65,-$41.31,-11.78%,,-$41.31,Short,$350.65,No,,,,,,,,,
CWBHF,CHARLOTTES WEB HOLDING F,08/07/2020,07/28/2020,300,$3.30,$3.80,$990.90,$1140.00,-$149.10,-13.08%,,-$149.10,Short,$1140.00,No,,,,,,,,,
JMIA 09/18/2020 10.00 C,CALL JUMIA TECHNOLOGIES $10 EXP 09/18/20,08/07/2020,08/06/2020,1,$7.69,$7.81,$769.33,$780.65,-$11.32,-1.45%,,-$11.32,Short,$780.65,No,,,,,,,,,
RUN 08/21/2020 46.00 C,CALL SUNRUN INC. $46 EXP 08/21/20,08/07/2020,08/06/2020,1,$3.29,$3.91,$329.34,$390.65,-$61.31,-15.69%,,-$61.31,Short,$390.65,No,,,,,,,,,
NVDA 08/07/2020 442.50 C,CALL NVIDIA CORP $442.5 EXP 08/07/20,08/07/2020,08/04/2020,1,$2.99,$8.01,$299.34,$800.65,-$501.31,-62.61%,,-$501.31,Short,$800.65,No,,,,,,,,,
GOLD,BARRICK GOLD CORP F,08/07/2020,07/24/2020,50,$29.00,$28.12,$1449.97,$1406.00,$43.97,3.13%,,$43.97,Short,$1406.00,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/07/2020,07/24/2020,6500,$0.17,$0.18,$1105.00,$1189.50,-$84.50,-7.10%,,-$84.50,Short,$1189.50,No,,,,,,,,,
MGPHF,MASON GRAPHITE INC F,08/07/2020,07/24/2020,900,$0.13,$0.12,$115.89,$104.17,$11.72,11.25%,,$11.72,Short,$104.17,No,,,,,,,,,
NVDA 08/07/2020 445.00 P,PUT NVIDIA CORP $445 EXP 08/07/20,08/07/2020,08/07/2020,1,$1.39,$3.74,$139.33,$373.65,-$234.32,-62.71%,,-$234.32,Short,$373.65,No,,,$959.95,-$541.95,-56.46%,,,,-56.46%
NVDA 08/07/2020 445.00 P,PUT NVIDIA CORP $445 EXP 08/07/20,08/07/2020,08/07/2020,1,$1.39,$2.31,$139.34,$230.65,-$91.31,-39.59%,,-$91.31,Short,$230.65,No,,,$959.95,-$541.95,-56.46%,,,,-56.46%
REGN 08/07/2020 630.00 C,CALL REGENERON PHARMS IN $630 EXP 08/07/20,08/07/2020,08/07/2020,1,$2.99,$1.31,$299.34,$130.65,$168.69,56.35%,,$168.69,Short,$130.65,No,,08/06/2020,,,,,,,
NVDA 08/07/2020 445.00 P,PUT NVIDIA CORP $445 EXP 08/07/20,08/07/2020,08/07/2020,1,$1.39,$3.56,$139.33,$355.65,-$216.32,-60.82%,,-$216.32,Short,$355.65,No,,,$959.95,-$541.95,-56.46%,,,,-56.46%
BZUN,BAOZUN INC F SPONSORED A DR 1 ADR REPS 3 ORD SHS,08/06/2020,07/07/2020,7.3781,$43.11,$44.02,$318.06,$324.81,-$6.75,-2.08%,,-$6.75,Short,$324.81,No,,,$778.00,-$2.04,-0.26%,,,,-0.26%
VRTX,VERTEX PHARMACEUTICA,08/06/2020,07/27/2020,5,$272.99,$280.34,$1364.97,$1401.70,-$36.73,-2.62%,,-$36.73,Short,$1401.70,No,,,,,,,,,
BZUN,BAOZUN INC F SPONSORED A DR 1 ADR REPS 3 ORD SHS,08/06/2020,07/02/2020,10,$43.11,$42.33,$431.09,$423.33,$7.76,1.83%,,$7.76,Short,$423.33,No,,,$778.00,-$2.04,-0.26%,,,,-0.26%
BYDDY,BYD CO LTD F SPONSORED ADR 1 ADR REPS 2 ORD SHS,08/06/2020,07/30/2020,5,$20.28,$18.78,$101.40,$93.90,$7.50,7.99%,,$7.50,Short,$93.90,No,,,,,,,,,
BZUN,BAOZUN INC F SPONSORED ADR 1 ADR REPS 3 ORD SHS,08/06/2020,06/12/2020,0.6219,$43.11,$48.01,$26.81,$29.86,-$3.05,-10.21%,,-$3.05,Short,$29.86,No,,,$778.00,-$2.04,-0.26%,,,,-0.26%
SEDG,SOLAREDGE TECH,08/06/2020,07/24/2020,1,$215.01,$172.26,$215.01,$172.26,$42.75,24.82%,,$42.75,Short,$172.26,No,,,,,,,,,
MGPHF,MASON GRAPHITE INC F,08/06/2020,07/24/2020,9100,$0.14,$0.12,$1310.37,$1053.33,$257.04,24.40%,,$257.04,Short,$1053.33,No,,,,,,,,,
TSM,TAIWAN SEMICONDUCTR F SPONSORED ADR 1 ADR REPS 5 ORD SHS,08/06/2020,07/24/2020,2,$81.97,$71.54,$163.94,$143.08,$20.86,14.58%,,$20.86,Short,$143.08,No,,,,,,,,,
NGPHF,NORTHERN GRAPHITE CO F,08/06/2020,07/24/2020,2675,$0.23,$0.15,$615.24,$411.95,$203.29,49.35%,,$203.29,Short,$411.95,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,07/24/2020,100,$0.17,$0.18,$17.19,$18.30,-$1.11,-6.07%,,-$1.11,Short,$18.30,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,08/06/2020,07/29/2020,2,$13.98,$13.56,$27.95,$27.13,$0.82,3.02%,,$0.82,Short,$27.13,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,07/24/2020,100,$0.17,$0.18,$17.19,$18.30,-$1.11,-6.07%,,-$1.11,Short,$18.30,No,,,,,,,,,
MMNFF,MEDMEN ENTERPRISES INC F,08/06/2020,07/24/2020,200,$0.17,$0.18,$34.39,$36.60,-$2.21,-6.04%,,-$2.21,Short,$36.60,No,,,,,,,,,
GTBIF,GREEN THUMB INDS INC F,08/06/2020,07/29/2020,18,$13.97,$13.56,$251.53,$244.15,$7.38,3.02%,,$7.38,Short,$244.15,No,,,,,,,,,
ACRGF,ACREAGE HLDGS INC F,08/06/2020,07/30/2020,115,$3.15,$3.09,$362.24,$355.35,$6.89,1.94%,,$6.89,Short,$355.35,No,,,,,,,,,
FSLY,FASTLY INC,08/06/2020,07/30/2020,4,$90.00,$92.08,$359.99,$368.32,-$8.33,-2.26%,,-$8.33,Short,$368.32,No,,,$1381.20,-$31.23,-2.26%,,,,-2.26%
FSLY 08/21/2020 89.00 P,PUT FASTLY INC $89 EXP 0 8/21/20,08/06/2020,08/06/2020,1,$6.19,$8.41,$619.32,$840.65,-$221.33,-26.33%,,-$221.33,Short,$840.65,No,,,$1581.30,-$342.67,-21.67%,,,,-21.67%
FSLY 08/21/2020 89.00 P,PUT FASTLY INC $89 EXP 08/21/20,08/06/2020,08/06/2020,1,$6.19,$7.41,$619.31,$740.65,-$121.34,-16.38%,,-$121.34,Short,$740.65,No,,,$1581.30,-$342.67,-21.67%,,,,-21.67%
